,Title,Year,Audience,Runtime,Rating,Earnings,Color,Genres,G_Action,G_Adventure,G_Animation,G_Biography,G_Comedy,G_Crime,G_Documentary,G_Drama,G_Family,G_Fantasy,G_History,G_Horror,G_Music,G_Musical,G_Mystery,G_Romance,G_SciFi,G_Thriller,G_War,G_Western
57,Harry Potter and the Order of the Phoenix,2007,PG-13,138,7.5,942172396,#564c4f,"['Action', 'Adventure', 'Family']",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
58,Finding Nemo,2003,G,100,8.2,940352645,#078fd1,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,Harry Potter and the Half-Blood Prince,2009,PG,153,7.6,934454096,#4b737b,"['Action', 'Adventure', 'Family']",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60,Shrek 2,2004,PG,93,7.3,928760770,#5e98cd,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,Bohemian Rhapsody,2018,PG-13,134,8,910809311,#f3a921,"['Biography', 'Drama', 'Music']",False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
62,The Battle at Lake Changjin,2021,Not Rated,176,5.3,902540935,#d7f1f3,"['Action', 'Drama', 'History']",True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
63,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,8.9,898094742,#b9a781,"['Action', 'Adventure', 'Drama']",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
64,Harry Potter and the Goblet of Fire,2005,PG-13,157,7.7,896678241,#3f5a64,"['Adventure', 'Family', 'Fantasy']",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
65,Spider-Man 3,2007,PG-13,139,6.3,894983373,#303238,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
66,Ice Age: Dawn of the Dinosaurs,2009,PG,94,6.9,886686817,#d6ab81,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,Spectre,2015,PG-13,148,6.8,880681519,#253442,"['Action', 'Adventure', 'Thriller']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
68,Spider-Man: Homecoming,2017,PG-13,133,7.4,880166924,#84abca,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,Harry Potter and the Chamber of Secrets,2002,PG,161,7.4,879602366,#3b72ac,"['Adventure', 'Family', 'Fantasy']",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
70,Ice Age: Continental Drift,2012,PG,88,6.5,877244782,#0c6ead,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,The Secret Life of Pets,2016,PG,87,6.5,875458631,#5e6fb7,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,Batman v Superman: Dawn of Justice,2016,PG-13,152,6.5,873637528,#cedee0,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
73,Wolf Warrior 2,2017,Not Rated,123,5.9,870325439,#8e6d55,"['Action', 'Adventure', 'Drama']",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
74,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,7.6,868390560,#8e5a42,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
75,The Hunger Games: Catching Fire,2013,PG-13,146,7.5,865011746,#922212,"['Action', 'Adventure', 'Drama']",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
76,Guardians of the Galaxy Vol. 2,2017,PG-13,136,7.6,863756051,#db8241,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,Inside Out,2015,PG,95,8.2,858848019,#a3b844,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,Venom,2018,PG-13,112,6.7,856085151,#475260,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
79,Thor: Ragnarok,2017,PG-13,130,7.9,853983911,#e2ab35,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,Inception,2010,PG-13,148,8.8,836836967,#0c3447,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
81,Transformers: Revenge of the Fallen,2009,PG-13,149,6,836303693,#487185,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
82,The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,115,5.6,829747654,#615450,"['Adventure', 'Drama', 'Fantasy']",False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
83,Spider-Man,2002,PG-13,121,7.4,825025036,#b25b22,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
84,Wonder Woman,2017,PG-13,141,7.4,822824522,#74bab4,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
85,"Hi, Mom",2021,Not Rated,128,7,822009764,#e3ae8b,"['Comedy', 'Romance']",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
86,Independence Day,1996,PG-13,145,7,817400891,#754030,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
87,Fantastic Beasts and Where to Find Them,2016,PG-13,132,7.3,814044001,#d6ccb9,"['Adventure', 'Family', 'Fantasy']",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
88,Shrek the Third,2007,PG,93,6.1,813367380,#999a5d,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,Coco,2017,PG,105,8.4,807817888,#eb7d29,"['Animation', 'Adventure', 'Comedy']",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,Jumanji: The Next Level,2019,PG-13,123,6.7,800059707,#443728,"['Action', 'Adventure', 'Comedy']",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,Harry Potter and the Prisoner of Azkaban,2004,PG,142,7.9,797361618,#58646c,"['Adventure', 'Family', 'Fantasy']",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
92,Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,129,6.6,794881442,#587479,"['Action', 'Adventure', 'Fantasy']",True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
93,E.T. the Extra-Terrestrial,1982,PG,115,7.9,792910554,#6f9eb3,"['Adventure', 'Family', 'Sci-Fi']",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
94,Mission: Impossible - Fallout,2018,PG-13,147,7.7,791657398,#f6f0e8,"['Action', 'Adventure', 'Thriller']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
95,2012,2009,PG-13,158,5.8,791217826,#35434d,"['Action', 'Adventure', 'Sci-Fi']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
96,Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122,6.2,790653942,#9f541d,"['Action', 'Adventure']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
